nohup: ignoring input

  2%|▏         | 75/5000 [00:07<08:08, 10.08it/s, loss=-0.436]
  2%|▏         | 75/5000 [00:07<08:08, 10.08it/s, loss=-0.46] 
  2%|▏         | 77/5000 [00:07<08:16,  9.92it/s, loss=-0.46]
  2%|▏         | 77/5000 [00:07<08:16,  9.92it/s, loss=-0.483]
  2%|▏         | 78/5000 [00:07<08:20,  9.84it/s, loss=-0.483]
  2%|▏         | 78/5000 [00:07<08:20,  9.84it/s, loss=-0.507]
  2%|▏         | 78/5000 [00:08<08:20,  9.84it/s, loss=-0.53] 
  2%|▏         | 80/5000 [00:08<08:15,  9.93it/s, loss=-0.53]
  2%|▏         | 80/5000 [00:08<08:15,  9.93it/s, loss=-0.553]
  2%|▏         | 80/5000 [00:08<08:15,  9.93it/s, loss=-0.575]
  2%|▏         | 82/5000 [00:08<08:11, 10.01it/s, loss=-0.575]
  2%|▏         | 82/5000 [00:08<08:11, 10.01it/s, loss=-0.598]
  2%|▏         | 82/5000 [00:08<08:11, 10.01it/s, loss=-0.62] 
  2%|▏         | 84/5000 [00:08<08:07, 10.09it/s, loss=-0.62]
  2%|▏         | 84/5000 [00:08<08:07, 10.09it/s, loss=-0.643]
  2%|▏         | 84/5000 [00:08<08:07, 10.09it/s, loss=-0.664]
  2%|▏         | 86/5000 [00:08<08:03, 10.15it/s, loss=-0.664]
  2%|▏         | 86/5000 [00:08<08:03, 10.15it/s, loss=-0.686]
  2%|▏         | 86/5000 [00:08<08:03, 10.15it/s, loss=-0.708]
  2%|▏         | 88/5000 [00:08<08:08, 10.05it/s, loss=-0.708]
  2%|▏         | 88/5000 [00:08<08:08, 10.05it/s, loss=-0.729]
  2%|▏         | 88/5000 [00:09<08:08, 10.05it/s, loss=-0.75] 
  2%|▏         | 90/5000 [00:09<08:09, 10.03it/s, loss=-0.75]
  2%|▏         | 90/5000 [00:09<08:09, 10.03it/s, loss=-0.771]
  2%|▏         | 90/5000 [00:09<08:09, 10.03it/s, loss=-0.792]
  2%|▏         | 92/5000 [00:09<08:06, 10.09it/s, loss=-0.792]
  2%|▏         | 92/5000 [00:09<08:06, 10.09it/s, loss=-0.812]
  2%|▏         | 92/5000 [00:09<08:06, 10.09it/s, loss=-0.832]
  2%|▏         | 94/5000 [00:09<08:01, 10.19it/s, loss=-0.832]
  2%|▏         | 94/5000 [00:09<08:01, 10.19it/s, loss=-0.852]
  2%|▏         | 94/5000 [00:09<08:01, 10.19it/s, loss=-0.872]
  2%|▏         | 96/5000 [00:09<08:00, 10.22it/s, loss=-0.872]
  2%|▏         | 96/5000 [00:09<08:00, 10.22it/s, loss=-0.891]
  2%|▏         | 96/5000 [00:09<08:00, 10.22it/s, loss=-0.911]
  2%|▏         | 98/5000 [00:09<07:57, 10.26it/s, loss=-0.911]
  2%|▏         | 98/5000 [00:09<07:57, 10.26it/s, loss=-0.93] 
  2%|▏         | 98/5000 [00:10<07:57, 10.26it/s, loss=-0.949]
  2%|▏         | 100/5000 [00:10<07:54, 10.33it/s, loss=-0.949]
  2%|▏         | 100/5000 [00:10<07:54, 10.33it/s, loss=-0.967]
  2%|▏         | 100/5000 [00:10<07:54, 10.33it/s, loss=-0.986]
  2%|▏         | 102/5000 [00:10<07:55, 10.29it/s, loss=-0.986]
  2%|▏         | 102/5000 [00:10<07:55, 10.29it/s, loss=-1]    
  2%|▏         | 102/5000 [00:10<07:55, 10.29it/s, loss=-1.02]
  2%|▏         | 104/5000 [00:10<08:10,  9.99it/s, loss=-1.02]
  2%|▏         | 104/5000 [00:10<08:10,  9.99it/s, loss=-1.04]
  2%|▏         | 104/5000 [00:10<08:10,  9.99it/s, loss=-1.06]
  2%|▏         | 106/5000 [00:10<08:05, 10.08it/s, loss=-1.06]
  2%|▏         | 106/5000 [00:10<08:05, 10.08it/s, loss=-1.07]
  2%|▏         | 106/5000 [00:10<08:05, 10.08it/s, loss=-1.09]
  2%|▏         | 108/5000 [00:10<08:08, 10.01it/s, loss=-1.09]
  2%|▏         | 108/5000 [00:10<08:08, 10.01it/s, loss=-1.11]
  2%|▏         | 108/5000 [00:11<08:08, 10.01it/s, loss=-1.12]
  2%|▏         | 110/5000 [00:11<08:07, 10.04it/s, loss=-1.12]
  2%|▏         | 110/5000 [00:11<08:07, 10.04it/s, loss=-1.14]
  2%|▏         | 110/5000 [00:11<08:07, 10.04it/s, loss=-1.15]
  2%|▏         | 112/5000 [00:11<08:04, 10.09it/s, loss=-1.15]
  2%|▏         | 112/5000 [00:11<08:04, 10.09it/s, loss=-1.17]
  2%|▏         | 112/5000 [00:11<08:04, 10.09it/s, loss=-1.18]
  2%|▏         | 114/5000 [00:11<08:04, 10.09it/s, loss=-1.18]
  2%|▏         | 114/5000 [00:11<08:04, 10.09it/s, loss=-1.2] 
  2%|▏         | 114/5000 [00:11<08:04, 10.09it/s, loss=-1.21]
  2%|▏         | 116/5000 [00:11<08:09,  9.97it/s, loss=-1.21]
  2%|▏         | 116/5000 [00:11<08:09,  9.97it/s, loss=-1.23]
  2%|▏         | 116/5000 [00:11<08:09,  9.97it/s, loss=-1.24]
  2%|▏         | 118/5000 [00:11<08:03, 10.10it/s, loss=-1.24]
  2%|▏         | 118/5000 [00:11<08:03, 10.10it/s, loss=-1.26]
  2%|▏         | 118/5000 [00:12<08:03, 10.10it/s, loss=-1.27]
  2%|▏         | 120/5000 [00:12<08:00, 10.16it/s, loss=-1.27]
  2%|▏         | 120/5000 [00:12<08:00, 10.16it/s, loss=-1.28]
  2%|▏         | 120/5000 [00:12<08:00, 10.16it/s, loss=-1.3] 
  2%|▏         | 122/5000 [00:12<07:59, 10.17it/s, loss=-1.3]
  2%|▏         | 122/5000 [00:12<07:59, 10.17it/s, loss=-1.31]
  2%|▏         | 122/5000 [00:12<07:59, 10.17it/s, loss=-1.32]
  2%|▏         | 124/5000 [00:12<07:58, 10.20it/s, loss=-1.32]
  2%|▏         | 124/5000 [00:12<07:58, 10.20it/s, loss=-1.33]
  2%|▏         | 124/5000 [00:12<07:58, 10.20it/s, loss=-1.34]
  3%|▎         | 126/5000 [00:12<08:01, 10.12it/s, loss=-1.34]
  3%|▎         | 126/5000 [00:12<08:01, 10.12it/s, loss=-1.36]
  3%|▎         | 126/5000 [00:12<08:01, 10.12it/s, loss=-1.37]
  3%|▎         | 128/5000 [00:12<07:58, 10.19it/s, loss=-1.37]
  3%|▎         | 128/5000 [00:12<07:58, 10.19it/s, loss=-1.38]
  3%|▎         | 128/5000 [00:12<07:58, 10.19it/s, loss=-1.39]
  3%|▎         | 130/5000 [00:12<07:56, 10.23it/s, loss=-1.39]
  3%|▎         | 130/5000 [00:13<07:56, 10.23it/s, loss=-1.4] 
  3%|▎         | 130/5000 [00:13<07:56, 10.23it/s, loss=-1.41]
  3%|▎         | 132/5000 [00:13<07:59, 10.15it/s, loss=-1.41]
  3%|▎         | 132/5000 [00:13<07:59, 10.15it/s, loss=-1.42]
  3%|▎         | 132/5000 [00:13<07:59, 10.15it/s, loss=-1.43]
  3%|▎         | 134/5000 [00:13<08:06, 10.01it/s, loss=-1.43]
  3%|▎         | 134/5000 [00:13<08:06, 10.01it/s, loss=-1.44]
  3%|▎         | 134/5000 [00:13<08:06, 10.01it/s, loss=-1.45]
  3%|▎         | 136/5000 [00:13<08:03, 10.06it/s, loss=-1.45]
  3%|▎         | 136/5000 [00:13<08:03, 10.06it/s, loss=-1.46]
  3%|▎         | 136/5000 [00:13<08:03, 10.06it/s, loss=-1.47]
  3%|▎         | 138/5000 [00:13<07:59, 10.14it/s, loss=-1.47]
  3%|▎         | 138/5000 [00:13<07:59, 10.14it/s, loss=-1.48]
  3%|▎         | 138/5000 [00:13<07:59, 10.14it/s, loss=-1.48]
