scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",29,Global,-1,Anterior,0,Global,MCMC,0.002118,,0.082313,1.050411,1.050411,1.000000,0.002118
HCM,"HCM (Global, μ=1.7)",29,Global,-1,Inferior,1,Global,MCMC,0.007965,,0.131446,1.898582,1.898582,1.000000,0.007965
HCM,"HCM (Global, μ=1.7)",29,Global,-1,Lateral,2,Global,MCMC,0.000008,,0.061374,0.826547,0.826547,1.000000,0.000008
HCM,"HCM (Global, μ=1.7)",29,Global,-1,Septal,3,Global,MCMC,0.018693,,0.122087,1.520161,1.520161,1.000000,0.018693
HCM,"HCM (Global, μ=1.7)",29,Global,-1,Apical,4,Global,MCMC,0.001715,,0.049780,0.700461,0.700461,1.000000,0.001715
HCM,"HCM (Global, μ=1.7)",30,Global,-1,Anterior,0,Global,MCMC,0.000161,,0.064585,0.886846,0.886846,1.000000,0.000161
HCM,"HCM (Global, μ=1.7)",30,Global,-1,Inferior,1,Global,MCMC,0.000049,,0.112421,1.704702,1.704702,1.000000,0.000049
HCM,"HCM (Global, μ=1.7)",30,Global,-1,Lateral,2,Global,MCMC,0.002899,,0.055810,0.761892,0.761892,1.000000,0.002899
HCM,"HCM (Global, μ=1.7)",30,Global,-1,Septal,3,Global,MCMC,0.027422,,0.123478,1.359225,1.359225,1.000000,0.027422
HCM,"HCM (Global, μ=1.7)",30,Global,-1,Apical,4,Global,MCMC,0.001780,,0.049039,0.643998,0.643998,1.000000,0.001780
HCM,"HCM (Global, μ=1.7)",31,Global,-1,Anterior,0,Global,MCMC,0.001624,,0.069287,0.896557,0.896557,1.000000,0.001624
HCM,"HCM (Global, μ=1.7)",31,Global,-1,Inferior,1,Global,MCMC,0.002225,,0.112600,1.623251,1.623251,1.000000,0.002225
HCM,"HCM (Global, μ=1.7)",31,Global,-1,Lateral,2,Global,MCMC,0.003701,,0.069755,0.908873,0.908873,1.000000,0.003701
HCM,"HCM (Global, μ=1.7)",31,Global,-1,Septal,3,Global,MCMC,0.041732,,0.134201,1.336018,1.336018,1.000000,0.041732
HCM,"HCM (Global, μ=1.7)",31,Global,-1,Apical,4,Global,MCMC,0.002337,,0.049988,0.678721,0.678721,1.000000,0.002337
HCM,"HCM (Global, μ=1.7)",32,Global,-1,Anterior,0,Global,MCMC,0.000581,,0.076767,1.007591,1.007591,1.000000,0.000581
HCM,"HCM (Global, μ=1.7)",32,Global,-1,Inferior,1,Global,MCMC,0.001958,,0.117397,1.666953,1.666953,1.000000,0.001958
HCM,"HCM (Global, μ=1.7)",32,Global,-1,Lateral,2,Global,MCMC,0.000116,,0.052275,0.710449,0.710449,1.000000,0.000116
HCM,"HCM (Global, μ=1.7)",32,Global,-1,Septal,3,Global,MCMC,0.039170,,0.137648,1.497201,1.497201,1.000000,0.039170
HCM,"HCM (Global, μ=1.7)",32,Global,-1,Apical,4,Global,MCMC,0.000042,,0.045274,0.606515,0.606515,1.000000,0.000042
HCM,"HCM (Global, μ=1.7)",33,Global,-1,Anterior,0,Global,MCMC,0.004903,,0.089102,1.162734,1.162734,1.000000,0.004903
HCM,"HCM (Global, μ=1.7)",33,Global,-1,Inferior,1,Global,MCMC,0.006406,,0.110995,1.540584,1.540584,1.000000,0.006406
HCM,"HCM (Global, μ=1.7)",33,Global,-1,Lateral,2,Global,MCMC,0.002333,,0.049431,0.625125,0.625125,1.000000,0.002333
HCM,"HCM (Global, μ=1.7)",33,Global,-1,Septal,3,Global,MCMC,0.039969,,0.127427,1.315385,1.315385,1.000000,0.039969
HCM,"HCM (Global, μ=1.7)",33,Global,-1,Apical,4,Global,MCMC,0.000015,,0.043597,0.596069,0.596069,1.000000,0.000015
HCM,"HCM (Global, μ=1.7)",34,Global,-1,Anterior,0,Global,MCMC,0.000605,,0.079535,1.043851,1.043851,1.000000,0.000605
HCM,"HCM (Global, μ=1.7)",34,Global,-1,Inferior,1,Global,MCMC,0.001298,,0.100249,1.427415,1.427415,1.000000,0.001298
HCM,"HCM (Global, μ=1.7)",34,Global,-1,Lateral,2,Global,MCMC,0.003476,,0.056176,0.699420,0.699420,1.000000,0.003476
HCM,"HCM (Global, μ=1.7)",34,Global,-1,Septal,3,Global,MCMC,0.032148,,0.121776,1.229853,1.229853,1.000000,0.032148
HCM,"HCM (Global, μ=1.7)",34,Global,-1,Apical,4,Global,MCMC,0.000257,,0.050513,0.663246,0.663246,1.000000,0.000257
HCM,"HCM (Global, μ=1.7)",35,Global,-1,Anterior,0,Global,MCMC,0.000285,,0.061444,0.813588,0.813588,1.000000,0.000285
HCM,"HCM (Global, μ=1.7)",35,Global,-1,Inferior,1,Global,MCMC,0.010748,,0.128712,1.829053,1.829053,1.000000,0.010748
HCM,"HCM (Global, μ=1.7)",35,Global,-1,Lateral,2,Global,MCMC,0.005808,,0.063022,0.733898,0.733898,1.000000,0.005808
HCM,"HCM (Global, μ=1.7)",35,Global,-1,Septal,3,Global,MCMC,0.053064,,0.139987,1.269503,1.269503,1.000000,0.053064
HCM,"HCM (Global, μ=1.7)",35,Global,-1,Apical,4,Global,MCMC,0.001413,,0.040493,0.545113,0.545113,1.000000,0.001413
HCM,"HCM (Global, μ=1.7)",36,Global,-1,Anterior,0,Global,MCMC,0.000574,,0.096411,1.241993,1.241993,1.000000,0.000574
HCM,"HCM (Global, μ=1.7)",36,Global,-1,Inferior,1,Global,MCMC,0.000500,,0.114565,1.533068,1.533068,1.000000,0.000500
HCM,"HCM (Global, μ=1.7)",36,Global,-1,Lateral,2,Global,MCMC,0.002049,,0.056842,0.815275,0.815275,1.000000,0.002049
HCM,"HCM (Global, μ=1.7)",36,Global,-1,Septal,3,Global,MCMC,0.013366,,0.104344,1.340133,1.340133,1.000000,0.013366
