scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Anterior,0,Diseased,Point Estimate,0.003534,0.058269,0.058269,,0.000000,,0.003534
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.052548,0.229228,0.229228,,0.000000,,0.052548
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.003485,0.058873,0.058873,,0.000000,,0.003485
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000099,0.007976,0.007976,,0.000000,,0.000099
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000494,0.022184,0.022184,,0.000000,,0.000494
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Anterior,0,Diseased,Point Estimate,0.033182,0.182021,0.182021,,0.000000,,0.033182
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.082104,0.285637,0.285637,,0.000000,,0.082104
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.001100,0.033170,0.033170,,0.000000,,0.001100
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.009123,0.095216,0.095216,,0.000000,,0.009123
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002013,0.044814,0.044814,,0.000000,,0.002013
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Anterior,0,Diseased,Point Estimate,0.023865,0.154482,0.154482,,0.000000,,0.023865
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.112318,0.334356,0.334356,,0.000000,,0.112318
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.005792,0.075972,0.075972,,0.000000,,0.005792
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.005662,0.075112,0.075112,,0.000000,,0.005662
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002392,0.048898,0.048898,,0.000000,,0.002392
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Anterior,0,Diseased,Point Estimate,0.012308,0.110072,0.110072,,0.000000,,0.012308
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.001144,0.028686,0.028686,,0.000000,,0.001144
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000354,0.018527,0.018527,,0.000000,,0.000354
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.001530,0.038638,0.038638,,0.000000,,0.001530
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.001002,0.031514,0.031514,,0.000000,,0.001002
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Anterior,0,Diseased,Point Estimate,0.002219,0.046559,0.046559,,0.000000,,0.002219
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.003707,0.056394,0.056394,,0.000000,,0.003707
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.001724,0.040700,0.040700,,0.000000,,0.001724
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000078,0.008724,0.008724,,0.000000,,0.000078
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002009,0.044739,0.044739,,0.000000,,0.002009
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Anterior,0,Diseased,Point Estimate,0.022754,0.148528,0.148528,,0.000000,,0.022754
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.067619,0.259147,0.259147,,0.000000,,0.067619
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.001786,0.042178,0.042178,,0.000000,,0.001786
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.009633,0.097484,0.097484,,0.000000,,0.009633
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.004760,0.068938,0.068938,,0.000000,,0.004760
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Anterior,0,Diseased,Point Estimate,0.015795,0.125286,0.125286,,0.000000,,0.015795
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.116639,0.340875,0.340875,,0.000000,,0.116639
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.006261,0.078798,0.078798,,0.000000,,0.006261
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000154,0.011768,0.011768,,0.000000,,0.000154
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000971,0.030985,0.030985,,0.000000,,0.000971
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Anterior,0,Diseased,Point Estimate,0.002177,0.038104,0.038104,,0.000000,,0.002177
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.051132,0.226025,0.226025,,0.000000,,0.051132
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.006399,0.079817,0.079817,,0.000000,,0.006399
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000703,0.022777,0.022777,,0.000000,,0.000703
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.001273,0.035675,0.035675,,0.000000,,0.001273
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Anterior,0,Diseased,Point Estimate,0.007465,0.086104,0.086104,,0.000000,,0.007465
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.068809,0.259990,0.259990,,0.000000,,0.068809
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000675,0.025895,0.025895,,0.000000,,0.000675
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000267,0.011850,0.011850,,0.000000,,0.000267
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002192,0.046732,0.046732,,0.000000,,0.002192
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Anterior,0,Diseased,Point Estimate,0.007514,0.085890,0.085890,,0.000000,,0.007514
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.113564,0.336724,0.336724,,0.000000,,0.113564
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.008122,0.089695,0.089695,,0.000000,,0.008122
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000022,0.004324,0.004324,,0.000000,,0.000022
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.001821,0.042634,0.042634,,0.000000,,0.001821
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.003941,0.062743,0.062743,,0.000000,,0.003941
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Inferior,1,Diseased,Point Estimate,0.044053,0.209840,0.209840,,0.000000,,0.044053
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.003872,0.059585,0.059585,,0.000000,,0.003872
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.000297,0.012624,0.012624,,0.000000,,0.000297
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000550,0.022158,0.022158,,0.000000,,0.000550
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.000219,0.013985,0.013985,,0.000000,,0.000219
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Inferior,1,Diseased,Point Estimate,0.072387,0.268443,0.268443,,0.000000,,0.072387
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.001421,0.036235,0.036235,,0.000000,,0.001421
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.000718,0.025031,0.025031,,0.000000,,0.000718
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000381,0.019514,0.019514,,0.000000,,0.000381
MI_2,MI Moderate (μ=2.0),22,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.035372,0.186873,0.186873,,0.000000,,0.035372
MI_2,MI Moderate (μ=2.0),22,Inferior,1,Inferior,1,Diseased,Point Estimate,0.046440,0.215402,0.215402,,0.000000,,0.046440
MI_2,MI Moderate (μ=2.0),22,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.000215,0.012604,0.012604,,0.000000,,0.000215
MI_2,MI Moderate (μ=2.0),22,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.015827,0.125768,0.125768,,0.000000,,0.015827
MI_2,MI Moderate (μ=2.0),22,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000181,0.013395,0.013395,,0.000000,,0.000181
MI_2,MI Moderate (μ=2.0),23,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.010705,0.103391,0.103391,,0.000000,,0.010705
MI_2,MI Moderate (μ=2.0),23,Inferior,1,Inferior,1,Diseased,Point Estimate,0.070914,0.264169,0.264169,,0.000000,,0.070914
MI_2,MI Moderate (μ=2.0),23,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.000170,0.012565,0.012565,,0.000000,,0.000170
MI_2,MI Moderate (μ=2.0),23,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.005210,0.072148,0.072148,,0.000000,,0.005210
MI_2,MI Moderate (μ=2.0),23,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000163,0.012710,0.012710,,0.000000,,0.000163
MI_2,MI Moderate (μ=2.0),24,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.000328,0.017628,0.017628,,0.000000,,0.000328
MI_2,MI Moderate (μ=2.0),24,Inferior,1,Inferior,1,Diseased,Point Estimate,0.026439,0.162519,0.162519,,0.000000,,0.026439
MI_2,MI Moderate (μ=2.0),24,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.002558,0.048511,0.048511,,0.000000,,0.002558
MI_2,MI Moderate (μ=2.0),24,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.000695,0.025425,0.025425,,0.000000,,0.000695
MI_2,MI Moderate (μ=2.0),24,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000042,0.006208,0.006208,,0.000000,,0.000042
MI_2,MI Moderate (μ=2.0),25,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.001523,0.038809,0.038809,,0.000000,,0.001523
MI_2,MI Moderate (μ=2.0),25,Inferior,1,Inferior,1,Diseased,Point Estimate,0.045344,0.212941,0.212941,,0.000000,,0.045344
MI_2,MI Moderate (μ=2.0),25,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.003833,0.059706,0.059706,,0.000000,,0.003833
MI_2,MI Moderate (μ=2.0),25,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.004952,0.068357,0.068357,,0.000000,,0.004952
MI_2,MI Moderate (μ=2.0),25,Inferior,1,Apical,4,Non-diseased,Point Estimate,0.000005,0.002175,0.002175,,0.000000,,0.000005
MI_2,MI Moderate (μ=2.0),26,Inferior,1,Anterior,0,Non-diseased,Point Estimate,0.029204,0.169824,0.169824,,0.000000,,0.029204
MI_2,MI Moderate (μ=2.0),26,Inferior,1,Inferior,1,Diseased,Point Estimate,0.075581,0.274777,0.274777,,0.000000,,0.075581
MI_2,MI Moderate (μ=2.0),26,Inferior,1,Lateral,2,Non-diseased,Point Estimate,0.000132,0.011395,0.011395,,0.000000,,0.000132
MI_2,MI Moderate (μ=2.0),26,Inferior,1,Septal,3,Non-diseased,Point Estimate,0.000404,0.019492,0.019492,,0.000000,,0.000404
