scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Overall Avg,Point Estimate,0.036260,0.131432,0.131432,,0.000000,
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Overall Avg,MCMC,0.008278,,0.089925,1.137098,1.137098,1.000000
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Diseased Avg,Point Estimate,0.036260,0.131432,0.131432,,0.000000,
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Diseased Avg,MCMC,0.008278,,0.089925,1.137098,1.137098,1.000000
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Overall Avg,Point Estimate,0.009871,0.061612,0.061612,,0.000000,
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Overall Avg,MCMC,0.008756,,0.105824,1.340487,1.340487,1.000000
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Diseased Avg,Point Estimate,0.009871,0.061612,0.061612,,0.000000,
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Diseased Avg,MCMC,0.008756,,0.105824,1.340487,1.340487,1.000000
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Overall Avg,Point Estimate,0.033792,0.118725,0.118725,,0.000000,
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Overall Avg,MCMC,0.011331,,0.092116,1.153441,1.153441,1.000000
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Diseased Avg,Point Estimate,0.033792,0.118725,0.118725,,0.000000,
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Diseased Avg,MCMC,0.011331,,0.092116,1.153441,1.153441,1.000000
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Overall Avg,Point Estimate,0.039419,0.117871,0.117871,,0.000000,
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Overall Avg,MCMC,0.005003,,0.079557,1.062133,1.062133,1.000000
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Diseased Avg,Point Estimate,0.039419,0.117871,0.117871,,0.000000,
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Diseased Avg,MCMC,0.005003,,0.079557,1.062133,1.062133,1.000000
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Overall Avg,Point Estimate,0.028937,0.096616,0.096616,,0.000000,
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Overall Avg,MCMC,0.026482,,0.097362,0.949416,0.949416,1.000000
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Diseased Avg,Point Estimate,0.028937,0.096616,0.096616,,0.000000,
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Diseased Avg,MCMC,0.026482,,0.097362,0.949416,0.949416,1.000000
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Overall Avg,Point Estimate,0.037084,0.127625,0.127625,,0.000000,
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Overall Avg,MCMC,0.018868,,0.088918,0.999793,0.999793,1.000000
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Diseased Avg,Point Estimate,0.037084,0.127625,0.127625,,0.000000,
