scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Septal,3,Global,MCMC,0.033486,,0.146153,1.594860,1.594860,1.000000,0.033486
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Apical,4,Global,Point Estimate,0.006680,0.079253,0.079253,,0.000000,,0.006680
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Apical,4,Global,MCMC,0.000722,,0.052365,0.752084,0.752084,1.000000,0.000722
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Anterior,0,Global,Point Estimate,0.000257,0.015803,0.015803,,0.000000,,0.000257
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Anterior,0,Global,MCMC,0.000169,,0.084789,1.111700,1.111700,1.000000,0.000169
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Inferior,1,Global,Point Estimate,0.053625,0.224308,0.224308,,0.000000,,0.053625
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Inferior,1,Global,MCMC,0.045762,,0.161213,1.824417,1.824417,1.000000,0.045762
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Lateral,2,Global,Point Estimate,0.000194,0.013843,0.013843,,0.000000,,0.000194
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Lateral,2,Global,MCMC,0.002210,,0.058362,0.760459,0.760459,1.000000,0.002210
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Septal,3,Global,Point Estimate,0.024410,0.143639,0.143639,,0.000000,,0.024410
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Septal,3,Global,MCMC,0.003961,,0.140700,1.872274,1.872274,1.000000,0.003961
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Apical,4,Global,Point Estimate,0.000557,0.022908,0.022908,,0.000000,,0.000557
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Apical,4,Global,MCMC,0.000252,,0.043939,0.590371,0.590371,1.000000,0.000252
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Anterior,0,Global,Point Estimate,0.006135,0.077483,0.077483,,0.000000,,0.006135
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Anterior,0,Global,MCMC,0.002847,,0.082212,1.023582,1.023582,1.000000,0.002847
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Inferior,1,Global,Point Estimate,0.170076,0.393426,0.393426,,0.000000,,0.170076
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Inferior,1,Global,MCMC,0.038187,,0.145112,1.657981,1.657981,1.000000,0.038187
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Lateral,2,Global,Point Estimate,0.001246,0.035288,0.035288,,0.000000,,0.001246
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Lateral,2,Global,MCMC,0.001761,,0.067985,0.876699,0.876699,1.000000,0.001761
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Septal,3,Global,Point Estimate,0.094208,0.302895,0.302895,,0.000000,,0.094208
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Septal,3,Global,MCMC,0.001271,,0.143288,1.934825,1.934825,1.000000,0.001271
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Apical,4,Global,Point Estimate,0.004556,0.065380,0.065380,,0.000000,,0.004556
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Apical,4,Global,MCMC,0.000002,,0.049031,0.690471,0.690471,1.000000,0.000002
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Anterior,0,Global,Point Estimate,0.004044,0.063491,0.063491,,0.000000,,0.004044
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Anterior,0,Global,MCMC,0.000205,,0.085245,1.170421,1.170421,1.000000,0.000205
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Inferior,1,Global,Point Estimate,0.144156,0.366179,0.366179,,0.000000,,0.144156
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Inferior,1,Global,MCMC,0.014866,,0.142901,1.842613,1.842613,1.000000,0.014866
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Lateral,2,Global,Point Estimate,0.000929,0.030395,0.030395,,0.000000,,0.000929
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Lateral,2,Global,MCMC,0.000102,,0.059310,0.866014,0.866014,1.000000,0.000102
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Septal,3,Global,Point Estimate,0.015196,0.121763,0.121763,,0.000000,,0.015196
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Septal,3,Global,MCMC,0.015530,,0.122680,1.563376,1.563376,1.000000,0.015530
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Apical,4,Global,Point Estimate,0.000465,0.019165,0.019165,,0.000000,,0.000465
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Apical,4,Global,MCMC,0.000403,,0.048306,0.654694,0.654694,1.000000,0.000403
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Anterior,0,Global,Point Estimate,0.005569,0.074586,0.074586,,0.000000,,0.005569
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Anterior,0,Global,MCMC,0.005919,,0.105019,1.298178,1.298178,1.000000,0.005919
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Inferior,1,Global,Point Estimate,0.118194,0.334672,0.334672,,0.000000,,0.118194
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Inferior,1,Global,MCMC,0.002582,,0.110525,1.494698,1.494698,1.000000,0.002582
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Lateral,2,Global,Point Estimate,0.000461,0.020132,0.020132,,0.000000,,0.000461
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Lateral,2,Global,MCMC,0.000201,,0.054731,0.752779,0.752779,1.000000,0.000201
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Septal,3,Global,Point Estimate,0.007116,0.084335,0.084335,,0.000000,,0.007116
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Septal,3,Global,MCMC,0.021903,,0.139852,1.655416,1.655416,1.000000,0.021903
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Apical,4,Global,Point Estimate,0.000687,0.024836,0.024836,,0.000000,,0.000687
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Apical,4,Global,MCMC,0.000095,,0.047156,0.641704,0.641704,1.000000,0.000095
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Anterior,0,Global,Point Estimate,0.017920,0.133821,0.133821,,0.000000,,0.017920
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Anterior,0,Global,MCMC,0.007583,,0.077820,0.990018,0.990018,1.000000,0.007583
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Inferior,1,Global,Point Estimate,0.124447,0.347507,0.347507,,0.000000,,0.124447
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Inferior,1,Global,MCMC,0.030109,,0.128989,1.480966,1.480966,1.000000,0.030109
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Lateral,2,Global,Point Estimate,0.001518,0.038838,0.038838,,0.000000,,0.001518
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Lateral,2,Global,MCMC,0.000335,,0.043711,0.599312,0.599312,1.000000,0.000335
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Septal,3,Global,Point Estimate,0.006178,0.076331,0.076331,,0.000000,,0.006178
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Septal,3,Global,MCMC,0.078695,,0.166140,1.181024,1.181024,1.000000,0.078695
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Apical,4,Global,Point Estimate,0.000425,0.020484,0.020484,,0.000000,,0.000425
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Apical,4,Global,MCMC,0.001001,,0.037638,0.465047,0.465047,1.000000,0.001001
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Anterior,0,Global,Point Estimate,0.000021,0.004269,0.004269,,0.000000,,0.000021
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Anterior,0,Global,MCMC,0.000831,,0.080523,1.058000,1.058000,1.000000,0.000831
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Inferior,1,Global,Point Estimate,0.127296,0.349237,0.349237,,0.000000,,0.127296
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Inferior,1,Global,MCMC,0.000035,,0.106537,1.474380,1.474380,1.000000,0.000035
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Lateral,2,Global,Point Estimate,0.003458,0.058648,0.058648,,0.000000,,0.003458
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Lateral,2,Global,MCMC,0.004940,,0.054351,0.613666,0.613666,1.000000,0.004940
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Septal,3,Global,Point Estimate,0.001110,0.033213,0.033213,,0.000000,,0.001110
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Septal,3,Global,MCMC,0.051615,,0.145280,1.448821,1.448821,1.000000,0.051615
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Apical,4,Global,Point Estimate,0.000912,0.028138,0.028138,,0.000000,,0.000912
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Apical,4,Global,MCMC,0.000119,,0.032601,0.447259,0.447259,1.000000,0.000119
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Anterior,0,Global,Point Estimate,0.000004,0.001738,0.001738,,0.000000,,0.000004
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Anterior,0,Global,MCMC,0.000181,,0.088443,1.062284,1.062284,1.000000,0.000181
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Inferior,1,Global,Point Estimate,0.139441,0.363914,0.363914,,0.000000,,0.139441
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Inferior,1,Global,MCMC,0.007738,,0.120468,1.736434,1.736434,1.000000,0.007738
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Lateral,2,Global,Point Estimate,0.001942,0.044020,0.044020,,0.000000,,0.001942
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Lateral,2,Global,MCMC,0.003209,,0.055360,0.734300,0.734300,1.000000,0.003209
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Septal,3,Global,Point Estimate,0.006698,0.079677,0.079677,,0.000000,,0.006698
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Septal,3,Global,MCMC,0.031439,,0.137216,1.482523,1.482523,1.000000,0.031439
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Apical,4,Global,Point Estimate,0.000601,0.020336,0.020336,,0.000000,,0.000601
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Apical,4,Global,MCMC,0.000159,,0.033755,0.498122,0.498122,1.000000,0.000159
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Anterior,0,Global,Point Estimate,0.006297,0.078944,0.078944,,0.000000,,0.006297
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Anterior,0,Global,MCMC,0.000769,,0.083364,1.076912,1.076912,1.000000,0.000769
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Inferior,1,Global,Point Estimate,0.155073,0.383318,0.383318,,0.000000,,0.155073
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Inferior,1,Global,MCMC,0.009535,,0.121362,1.706037,1.706037,1.000000,0.009535
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Lateral,2,Global,Point Estimate,0.002871,0.053229,0.053229,,0.000000,,0.002871
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Lateral,2,Global,MCMC,0.001065,,0.064899,0.884800,0.884800,1.000000,0.001065
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Septal,3,Global,Point Estimate,0.016856,0.127686,0.127686,,0.000000,,0.016856
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Septal,3,Global,MCMC,0.029935,,0.135774,1.525724,1.525724,1.000000,0.029935
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Apical,4,Global,Point Estimate,0.000201,0.013982,0.013982,,0.000000,,0.000201
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Apical,4,Global,MCMC,0.000089,,0.044225,0.596583,0.596583,1.000000,0.000089
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Anterior,0,Global,Point Estimate,0.000369,0.018946,0.018946,,0.000000,,0.000369
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Anterior,0,Global,MCMC,0.000711,,0.098274,1.319356,1.319356,1.000000,0.000711
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Inferior,1,Global,Point Estimate,0.044777,0.203085,0.203085,,0.000000,,0.044777
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Inferior,1,Global,MCMC,0.038565,,0.153775,1.827630,1.827630,1.000000,0.038565
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Lateral,2,Global,Point Estimate,0.000011,0.003109,0.003109,,0.000000,,0.000011
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Lateral,2,Global,MCMC,0.001521,,0.073108,0.944700,0.944700,1.000000,0.001521
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Septal,3,Global,Point Estimate,0.000905,0.026573,0.026573,,0.000000,,0.000905
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Septal,3,Global,MCMC,0.002835,,0.153415,2.044566,2.044566,1.000000,0.002835
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Apical,4,Global,Point Estimate,0.003294,0.056346,0.056346,,0.000000,,0.003294
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Apical,4,Global,MCMC,0.000149,,0.050549,0.713136,0.713136,1.000000,0.000149
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Anterior,0,Global,Point Estimate,0.003044,0.055107,0.055107,,0.000000,,0.003044
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Anterior,0,Global,MCMC,0.000129,,0.089428,1.170046,1.170046,1.000000,0.000129
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Inferior,1,Global,Point Estimate,0.148336,0.374346,0.374346,,0.000000,,0.148336
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Inferior,1,Global,MCMC,0.000293,,0.117113,1.776205,1.776205,1.000000,0.000293
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Lateral,2,Global,Point Estimate,0.000514,0.021759,0.021759,,0.000000,,0.000514
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Lateral,2,Global,MCMC,0.000746,,0.053735,0.755953,0.755953,1.000000,0.000746
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Septal,3,Global,Point Estimate,0.016873,0.129025,0.129025,,0.000000,,0.016873
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Septal,3,Global,MCMC,0.055321,,0.156391,1.565498,1.565498,1.000000,0.055321
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Apical,4,Global,Point Estimate,0.000194,0.013391,0.013391,,0.000000,,0.000194
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Apical,4,Global,MCMC,0.000165,,0.043915,0.573191,0.573191,1.000000,0.000165
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Anterior,0,Global,Point Estimate,0.000043,0.005672,0.005672,,0.000000,,0.000043
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Anterior,0,Global,MCMC,0.000020,,0.068033,0.928433,0.928433,1.000000,0.000020
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Inferior,1,Global,Point Estimate,0.173228,0.404682,0.404682,,0.000000,,0.173228
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Inferior,1,Global,MCMC,0.000376,,0.113392,1.653119,1.653119,1.000000,0.000376
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Lateral,2,Global,Point Estimate,0.000108,0.010106,0.010106,,0.000000,,0.000108
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Lateral,2,Global,MCMC,0.000032,,0.052670,0.763355,0.763355,1.000000,0.000032
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Septal,3,Global,Point Estimate,0.023186,0.147934,0.147934,,0.000000,,0.023186
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Septal,3,Global,MCMC,0.024581,,0.118759,1.381235,1.381235,1.000000,0.024581
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Apical,4,Global,Point Estimate,0.000528,0.020962,0.020962,,0.000000,,0.000528
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Apical,4,Global,MCMC,0.000006,,0.044931,0.659929,0.659929,1.000000,0.000006
