Volume,cir-Basal-InfSept,cir-Basal-AntSept,cir-Basal-Ant,cir-Basal-AntLat,cir-Basal-InfLat,cir-Basal-Inf,cir-Mid-InfSept,cir-Mid-AntSept,cir-Mid-Ant,cir-Mid-AntLat,cir-Mid-InfLat,cir-Mid-Inf,cir-Apical-Septal,cir-Apical-Anterior,cir-Apical-Lateral,cir-Apical-Inferior,rad-Basal-InfSept,rad-Basal-AntSept,rad-Basal-Ant,rad-Basal-AntLat,rad-Basal-InfLat,rad-Basal-Inf,rad-Mid-InfSept,rad-Mid-AntSept,rad-Mid-Ant,rad-Mid-AntLat,rad-Mid-InfLat,rad-Mid-Inf,rad-Apical-Septal,rad-Apical-Anterior,rad-Apical-Lateral,rad-Apical-Inferior
180.9779,-0.101318092,-0.14601313,-0.110256917,-0.11388843,-0.162021794,-0.058933405,-0.119425199,-0.128547939,-0.0834519,-0.072000651,-0.132143192,-0.057113767,-0.126870096,,-0.107295415,,0.240428977,0.29495268,0.55065294,0.366140523,0.275817418,0.244548355,0.345627594,0.274485194,0.386910916,0.370710465,0.47713932,0.273209782,0.234752775,,0.372958447,
180.9779,-0.120094513,-0.156274927,-0.129570386,-0.133992467,-0.191989881,-0.06655519,-0.140315982,-0.147394271,-0.094195713,-0.087349956,-0.158034878,-0.068671995,-0.144828277,,-0.134746649,,0.281432059,0.361021304,0.604221633,0.484851502,0.374709316,0.3202984,0.422063227,0.332278002,0.474159445,0.436375528,0.572383722,0.349598801,0.281183005,,0.457897758,
180.9779,-0.135610354,-0.163056688,-0.145997367,-0.151405183,-0.214564878,-0.071430434,-0.157609818,-0.161952682,-0.094819805,-0.102819098,-0.179130707,-0.074907026,-0.161829645,,-0.15502616,,0.318680665,0.42086268,0.645302784,0.605646734,0.471829314,0.394203634,0.496771788,0.401530656,0.561072359,0.492566087,0.653141299,0.422088122,0.334309751,,0.532782966,
180.9779,-0.14778184,-0.171298949,-0.15468283,-0.164070873,-0.231895911,-0.070106456,-0.166821754,-0.168571277,-0.092545036,-0.114146002,-0.193433942,-0.076575037,-0.171396893,,-0.171763881,,0.343389766,0.459611329,0.697886269,0.71795108,0.562262462,0.441016379,0.550718694,0.450627803,0.627530254,0.536629939,0.718544408,0.471595536,0.385673771,,0.603206972,
180.9779,-0.154402384,-0.177650128,-0.154122025,-0.173105239,-0.243867113,-0.068230462,-0.156867374,-0.158040473,-0.084652178,-0.118447634,-0.199019645,-0.071616396,-0.168358035,,-0.179677679,,0.357088075,0.48434147,0.762679119,0.804357846,0.621404931,0.47032845,0.549328319,0.437432912,0.630356005,0.545223089,0.744480507,0.451712376,0.409535648,,0.626320997,
180.9779,-0.155651109,-0.179375695,-0.146123342,-0.177401865,-0.248955689,-0.066567052,-0.136552769,-0.12557158,-0.077757776,-0.117432907,-0.192504968,-0.063214295,-0.143594298,,-0.173260878,,0.387807273,0.523750033,0.787770565,0.852995,0.66681469,0.46170035,0.464325303,0.361005206,0.554341181,0.505444339,0.687341906,0.38052866,0.367820073,,0.583589435,
180.9779,-0.161433342,-0.178560374,-0.141122454,-0.180220895,-0.246361596,-0.079284151,-0.130437407,-0.105000703,-0.078377533,-0.106330045,-0.179071014,-0.063483565,-0.11700711,,-0.150550731,,0.404066678,0.541348184,0.777661971,0.865855463,0.697021577,0.472279496,0.427812521,0.31416015,0.459443219,0.450417386,0.603398432,0.331854232,0.284819621,,0.4978782,
180.9779,-0.170646588,-0.176529943,-0.142190255,-0.174729137,-0.236808985,-0.108225567,-0.144128121,-0.099263652,-0.080232488,-0.085601754,-0.158074725,-0.074752036,-0.107807642,,-0.121991554,,0.421733069,0.536486353,0.748871574,0.866873514,0.729820787,0.499581076,0.423634681,0.309820086,0.345749039,0.353635689,0.491041197,0.319813238,0.25520914,,0.411587273,
180.9779,-0.166247458,-0.166396362,-0.126969993,-0.152231635,-0.216548145,-0.142859047,-0.165640475,-0.102266604,-0.063921482,-0.063207549,-0.124115347,-0.067713445,-0.114169258,,-0.092203554,,0.404157081,0.511862557,0.599705678,0.784382365,0.704320239,0.482571198,0.406920162,0.304647717,0.223172815,0.176773667,0.293220293,0.323244234,0.25283419,,0.282396138,
180.9779,-0.147864682,-0.14419404,-0.09683161,-0.109228039,-0.179178055,-0.14528381,-0.147376963,-0.081540542,-0.036691005,-0.024765819,-0.06922812,-0.052638995,-0.120261092,,-0.05930606,,0.341451481,0.407149548,0.466124324,0.49221615,0.536523558,0.396933471,0.271041364,0.209584243,0.08484746,-0.026079849,0.072720755,0.240201136,0.20873528,,0.152866016,
